Frequency[MHz]	Power on tag forward (dBm)-Works_Group_7
800.0	 
801.0	 
802.0	 
803.0	 
804.0	 
805.0	 
806.0	 
807.0	 
808.0	 
809.0	 
810.0	 
811.0	 
812.0	 
813.0	 
814.0	 
815.0	 
816.0	 
817.0	 
818.0	 
819.0	 
820.0	 
821.0	 
822.0	 
823.0	 
824.0	 
825.0	 
826.0	 
827.0	 
828.0	 
829.0	 
830.0	 
831.0	 
832.0	 
833.0	 
834.0	 
835.0	 
836.0	 
837.0	 
838.0	 
839.0	 
840.0	8.339
841.0	8.215
842.0	8.090
843.0	7.966
844.0	7.841
845.0	7.717
846.0	7.587
847.0	7.457
848.0	7.328
849.0	7.198
850.0	7.068
851.0	6.941
852.0	6.813
853.0	6.686
854.0	6.558
855.0	6.431
856.0	6.304
857.0	6.177
858.0	6.050
859.0	5.923
860.0	5.796
861.0	5.644
862.0	5.492
863.0	5.341
864.0	5.189
865.0	5.037
866.0	4.916
867.0	4.795
868.0	4.675
869.0	4.554
870.0	4.433
871.0	4.291
872.0	4.149
873.0	4.007
874.0	3.865
875.0	3.723
876.0	3.593
877.0	3.463
878.0	3.332
879.0	3.202
880.0	3.072
881.0	2.939
882.0	2.806
883.0	2.672
884.0	2.539
885.0	2.406
886.0	2.280
887.0	2.155
888.0	2.029
889.0	1.904
890.0	1.778
891.0	1.660
892.0	1.542
893.0	1.425
894.0	1.307
895.0	1.189
896.0	1.050
897.0	0.910
898.0	0.771
899.0	0.631
900.0	0.492
901.0	0.374
902.0	0.256
903.0	0.137
904.0	0.019
905.0	-0.099
906.0	-0.178
907.0	-0.257
908.0	-0.337
909.0	-0.416
910.0	-0.495
911.0	-0.580
912.0	-0.664
913.0	-0.749
914.0	-0.833
915.0	-0.918
916.0	-0.993
917.0	-1.069
918.0	-1.144
919.0	-1.220
920.0	-1.295
921.0	-1.318
922.0	-1.341
923.0	-1.363
924.0	-1.386
925.0	-1.409
926.0	-1.417
927.0	-1.425
928.0	-1.433
929.0	-1.441
930.0	-1.449
931.0	-1.429
932.0	-1.410
933.0	-1.390
934.0	-1.371
935.0	-1.351
936.0	-1.321
937.0	-1.291
938.0	-1.262
939.0	-1.232
940.0	-1.202
941.0	-1.132
942.0	-1.062
943.0	-0.992
944.0	-0.922
945.0	-0.852
946.0	-0.782
947.0	-0.712
948.0	-0.642
949.0	-0.572
950.0	-0.502
951.0	-0.419
952.0	-0.336
953.0	-0.254
954.0	-0.171
955.0	-0.088
956.0	-0.020
957.0	0.047
958.0	0.115
959.0	0.182
960.0	0.250
961.0	0.325
962.0	0.400
963.0	0.476
964.0	0.551
965.0	0.626
966.0	0.721
967.0	0.816
968.0	0.910
969.0	1.005
970.0	1.100
971.0	1.192
972.0	1.284
973.0	1.375
974.0	1.467
975.0	1.559
976.0	1.645
977.0	1.732
978.0	1.818
979.0	1.905
980.0	1.991
981.0	2.079
982.0	2.167
983.0	2.254
984.0	2.342
985.0	2.430
986.0	2.512
987.0	2.594
988.0	2.676
989.0	2.758
990.0	2.840
991.0	2.938
992.0	3.036
993.0	3.135
994.0	3.233
995.0	3.331
996.0	3.453
997.0	3.575
998.0	3.697
999.0	3.819
1000.0	3.941
