Frequency[MHz]	Power on tag reverse (dBm)-Works_Group_7
800.0	 
801.0	 
802.0	 
803.0	 
804.0	 
805.0	 
806.0	 
807.0	 
808.0	 
809.0	 
810.0	 
811.0	 
812.0	 
813.0	 
814.0	 
815.0	 
816.0	 
817.0	 
818.0	 
819.0	 
820.0	 
821.0	 
822.0	 
823.0	 
824.0	 
825.0	 
826.0	 
827.0	 
828.0	 
829.0	 
830.0	 
831.0	 
832.0	 
833.0	 
834.0	 
835.0	 
836.0	 
837.0	 
838.0	 
839.0	 
840.0	-37.209
841.0	-37.139
842.0	-37.069
843.0	-36.998
844.0	-36.928
845.0	-36.858
846.0	-36.834
847.0	-36.810
848.0	-36.787
849.0	-36.763
850.0	-36.739
851.0	-36.699
852.0	-36.659
853.0	-36.619
854.0	-36.579
855.0	-36.539
856.0	-36.496
857.0	-36.452
858.0	-36.408
859.0	-36.365
860.0	-36.321
861.0	-36.319
862.0	-36.317
863.0	-36.315
864.0	-36.313
865.0	-36.311
866.0	-36.272
867.0	-36.233
868.0	-36.193
869.0	-36.154
870.0	-36.115
871.0	-36.094
872.0	-36.074
873.0	-36.054
874.0	-36.033
875.0	-36.013
876.0	-36.047
877.0	-36.082
878.0	-36.117
879.0	-36.152
880.0	-36.187
881.0	-36.150
882.0	-36.113
883.0	-36.076
884.0	-36.039
885.0	-36.002
886.0	-35.968
887.0	-35.934
888.0	-35.901
889.0	-35.867
890.0	-35.834
891.0	-35.771
892.0	-35.709
893.0	-35.646
894.0	-35.584
895.0	-35.522
896.0	-35.625
897.0	-35.728
898.0	-35.831
899.0	-35.934
900.0	-36.037
901.0	-35.948
902.0	-35.859
903.0	-35.770
904.0	-35.681
905.0	-35.592
906.0	-35.633
907.0	-35.673
908.0	-35.713
909.0	-35.754
910.0	-35.794
911.0	-35.734
912.0	-35.673
913.0	-35.612
914.0	-35.551
915.0	-35.490
916.0	-35.508
917.0	-35.525
918.0	-35.542
919.0	-35.559
920.0	-35.577
921.0	-35.515
922.0	-35.454
923.0	-35.393
924.0	-35.332
925.0	-35.271
926.0	-35.330
927.0	-35.389
928.0	-35.449
929.0	-35.508
930.0	-35.567
931.0	-35.523
932.0	-35.478
933.0	-35.434
934.0	-35.390
935.0	-35.345
936.0	-35.367
937.0	-35.389
938.0	-35.411
939.0	-35.434
940.0	-35.456
941.0	-35.436
942.0	-35.417
943.0	-35.398
944.0	-35.378
945.0	-35.359
946.0	-35.347
947.0	-35.335
948.0	-35.322
949.0	-35.310
950.0	-35.298
951.0	-35.288
952.0	-35.279
953.0	-35.269
954.0	-35.260
955.0	-35.250
956.0	-35.272
957.0	-35.295
958.0	-35.317
959.0	-35.339
960.0	-35.361
961.0	-35.325
962.0	-35.289
963.0	-35.253
964.0	-35.217
965.0	-35.181
966.0	-35.150
967.0	-35.120
968.0	-35.089
969.0	-35.059
970.0	-35.028
971.0	-35.071
972.0	-35.113
973.0	-35.156
974.0	-35.198
975.0	-35.241
976.0	-35.218
977.0	-35.195
978.0	-35.173
979.0	-35.150
980.0	-35.128
981.0	-35.206
982.0	-35.284
983.0	-35.361
984.0	-35.439
985.0	-35.517
986.0	-35.367
987.0	-35.216
988.0	-35.066
989.0	-34.916
990.0	-34.765
991.0	-34.870
992.0	-34.974
993.0	-35.078
994.0	-35.183
995.0	-35.287
996.0	-35.263
997.0	-35.239
998.0	-35.216
999.0	-35.192
1000.0	-35.168
