Frequency[MHz]	Power on tag reverse (dBm)-Group_7_8pcs
800.0	 
801.0	 
802.0	 
803.0	 
804.0	 
805.0	 
806.0	 
807.0	 
808.0	 
809.0	 
810.0	 
811.0	 
812.0	 
813.0	 
814.0	 
815.0	 
816.0	 
817.0	 
818.0	 
819.0	 
820.0	 
821.0	 
822.0	 
823.0	 
824.0	 
825.0	 
826.0	 
827.0	 
828.0	 
829.0	 
830.0	-36.834
831.0	-36.831
832.0	-36.828
833.0	-36.825
834.0	-36.822
835.0	-36.819
836.0	-36.786
837.0	-36.754
838.0	-36.721
839.0	-36.688
840.0	-36.655
841.0	-36.569
842.0	-36.483
843.0	-36.397
844.0	-36.311
845.0	-36.225
846.0	-36.228
847.0	-36.230
848.0	-36.232
849.0	-36.235
850.0	-36.237
851.0	-36.235
852.0	-36.234
853.0	-36.232
854.0	-36.230
855.0	-36.228
856.0	-36.207
857.0	-36.185
858.0	-36.163
859.0	-36.142
860.0	-36.120
861.0	-36.096
862.0	-36.072
863.0	-36.047
864.0	-36.023
865.0	-35.999
866.0	-35.976
867.0	-35.953
868.0	-35.930
869.0	-35.906
870.0	-35.883
871.0	-35.812
872.0	-35.740
873.0	-35.669
874.0	-35.598
875.0	-35.526
876.0	-35.493
877.0	-35.460
878.0	-35.427
879.0	-35.394
880.0	-35.360
881.0	-35.338
882.0	-35.316
883.0	-35.294
884.0	-35.271
885.0	-35.249
886.0	-35.233
887.0	-35.217
888.0	-35.201
889.0	-35.184
890.0	-35.168
891.0	-35.176
892.0	-35.184
893.0	-35.191
894.0	-35.199
895.0	-35.207
896.0	-35.233
897.0	-35.258
898.0	-35.284
899.0	-35.310
900.0	-35.336
901.0	-35.283
902.0	-35.231
903.0	-35.179
904.0	-35.126
905.0	-35.074
906.0	-35.097
907.0	-35.121
908.0	-35.144
909.0	-35.168
910.0	-35.191
911.0	-35.161
912.0	-35.130
913.0	-35.100
914.0	-35.069
915.0	-35.038
916.0	-35.017
917.0	-34.996
918.0	-34.975
919.0	-34.954
920.0	-34.933
921.0	-34.917
922.0	-34.901
923.0	-34.885
924.0	-34.869
925.0	-34.853
926.0	-34.880
927.0	-34.906
928.0	-34.933
929.0	-34.959
930.0	-34.985
931.0	-34.966
932.0	-34.946
933.0	-34.927
934.0	-34.907
935.0	-34.887
936.0	-34.875
937.0	-34.862
938.0	-34.849
939.0	-34.837
940.0	-34.824
941.0	-34.857
942.0	-34.891
943.0	-34.924
944.0	-34.957
945.0	-34.990
946.0	-34.961
947.0	-34.932
948.0	-34.902
949.0	-34.873
950.0	-34.844
951.0	-34.812
952.0	-34.781
953.0	-34.749
954.0	-34.718
955.0	-34.686
956.0	-34.701
957.0	-34.716
958.0	-34.731
959.0	-34.746
960.0	-34.761
961.0	-34.734
962.0	-34.707
963.0	-34.681
964.0	-34.654
965.0	-34.627
966.0	-34.602
967.0	-34.576
968.0	-34.551
969.0	-34.526
970.0	-34.500
971.0	-34.527
972.0	-34.553
973.0	-34.579
974.0	-34.606
975.0	-34.632
976.0	-34.611
977.0	-34.590
978.0	-34.569
979.0	-34.548
980.0	-34.526
981.0	-34.516
982.0	-34.505
983.0	-34.494
984.0	-34.483
985.0	-34.472
986.0	-34.419
987.0	-34.366
988.0	-34.313
989.0	-34.260
990.0	-34.207
991.0	-34.150
992.0	-34.094
993.0	-34.037
994.0	-33.980
995.0	-33.923
996.0	-33.998
997.0	-34.073
998.0	-34.148
999.0	-34.223
1000.0	-34.298
