Frequency[MHz]	Theoretical read range reverse (m/ft)-Group_7_16pcs
800.0	 
801.0	 
802.0	 
803.0	 
804.0	 
805.0	 
806.0	 
807.0	 
808.0	 
809.0	 
810.0	 
811.0	 
812.0	 
813.0	 
814.0	 
815.0	 
816.0	 
817.0	 
818.0	 
819.0	 
820.0	2.059
821.0	2.068
822.0	2.077
823.0	2.086
824.0	2.095
825.0	2.104
826.0	2.107
827.0	2.110
828.0	2.113
829.0	2.117
830.0	2.120
831.0	2.125
832.0	2.130
833.0	2.136
834.0	2.141
835.0	2.147
836.0	2.145
837.0	2.144
838.0	2.143
839.0	2.142
840.0	2.140
841.0	2.170
842.0	2.199
843.0	2.228
844.0	2.257
845.0	2.286
846.0	2.280
847.0	2.274
848.0	2.268
849.0	2.262
850.0	2.256
851.0	2.270
852.0	2.284
853.0	2.298
854.0	2.311
855.0	2.325
856.0	2.320
857.0	2.316
858.0	2.311
859.0	2.306
860.0	2.301
861.0	2.303
862.0	2.306
863.0	2.308
864.0	2.310
865.0	2.312
866.0	2.316
867.0	2.320
868.0	2.324
869.0	2.328
870.0	2.332
871.0	2.354
872.0	2.376
873.0	2.398
874.0	2.420
875.0	2.442
876.0	2.435
877.0	2.427
878.0	2.420
879.0	2.413
880.0	2.405
881.0	2.412
882.0	2.418
883.0	2.425
884.0	2.431
885.0	2.438
886.0	2.432
887.0	2.427
888.0	2.421
889.0	2.416
890.0	2.410
891.0	2.421
892.0	2.432
893.0	2.443
894.0	2.454
895.0	2.465
896.0	2.460
897.0	2.455
898.0	2.450
899.0	2.445
900.0	2.440
901.0	2.449
902.0	2.458
903.0	2.468
904.0	2.477
905.0	2.486
906.0	2.469
907.0	2.452
908.0	2.434
909.0	2.417
910.0	2.400
911.0	2.415
912.0	2.430
913.0	2.445
914.0	2.460
915.0	2.475
916.0	2.478
917.0	2.481
918.0	2.483
919.0	2.486
920.0	2.489
921.0	2.485
922.0	2.482
923.0	2.479
924.0	2.475
925.0	2.472
926.0	2.468
927.0	2.464
928.0	2.460
929.0	2.456
930.0	2.452
931.0	2.454
932.0	2.456
933.0	2.458
934.0	2.459
935.0	2.461
936.0	2.457
937.0	2.454
938.0	2.450
939.0	2.446
940.0	2.443
941.0	2.449
942.0	2.455
943.0	2.462
944.0	2.468
945.0	2.474
946.0	2.471
947.0	2.467
948.0	2.464
949.0	2.460
950.0	2.457
951.0	2.456
952.0	2.455
953.0	2.454
954.0	2.453
955.0	2.452
956.0	2.454
957.0	2.457
958.0	2.459
959.0	2.461
960.0	2.464
961.0	2.466
962.0	2.468
963.0	2.470
964.0	2.473
965.0	2.475
966.0	2.474
967.0	2.472
968.0	2.471
969.0	2.470
970.0	2.469
971.0	2.472
972.0	2.475
973.0	2.478
974.0	2.482
975.0	2.485
976.0	2.474
977.0	2.464
978.0	2.453
979.0	2.442
980.0	2.432
981.0	2.395
982.0	2.358
983.0	2.322
984.0	2.285
985.0	2.248
986.0	2.340
987.0	2.431
988.0	2.522
989.0	2.613
990.0	2.705
991.0	2.638
992.0	2.572
993.0	2.506
994.0	2.439
995.0	2.373
996.0	2.451
997.0	2.529
998.0	2.606
999.0	2.684
1000.0	2.762
