Frequency[MHz]	Theoretical read range reverse (m/ft)-Works_Group_7__no_pper
800.0	 
801.0	 
802.0	 
803.0	 
804.0	 
805.0	 
806.0	 
807.0	 
808.0	 
809.0	 
810.0	 
811.0	 
812.0	 
813.0	 
814.0	 
815.0	 
816.0	 
817.0	 
818.0	 
819.0	 
820.0	 
821.0	 
822.0	 
823.0	 
824.0	 
825.0	 
826.0	 
827.0	 
828.0	 
829.0	 
830.0	 
831.0	 
832.0	 
833.0	 
834.0	 
835.0	 
836.0	 
837.0	 
838.0	 
839.0	 
840.0	1.963
841.0	1.977
842.0	1.990
843.0	2.004
844.0	2.018
845.0	2.032
846.0	2.035
847.0	2.038
848.0	2.041
849.0	2.044
850.0	2.048
851.0	2.055
852.0	2.062
853.0	2.069
854.0	2.076
855.0	2.083
856.0	2.091
857.0	2.099
858.0	2.107
859.0	2.115
860.0	2.124
861.0	2.122
862.0	2.120
863.0	2.118
864.0	2.116
865.0	2.114
866.0	2.121
867.0	2.128
868.0	2.135
869.0	2.142
870.0	2.150
871.0	2.152
872.0	2.155
873.0	2.157
874.0	2.160
875.0	2.163
876.0	2.152
877.0	2.141
878.0	2.130
879.0	2.119
880.0	2.108
881.0	2.114
882.0	2.121
883.0	2.128
884.0	2.134
885.0	2.141
886.0	2.147
887.0	2.153
888.0	2.159
889.0	2.165
890.0	2.170
891.0	2.184
892.0	2.197
893.0	2.211
894.0	2.224
895.0	2.237
896.0	2.209
897.0	2.181
898.0	2.153
899.0	2.125
900.0	2.097
901.0	2.116
902.0	2.136
903.0	2.155
904.0	2.175
905.0	2.195
906.0	2.182
907.0	2.170
908.0	2.157
909.0	2.145
910.0	2.132
911.0	2.145
912.0	2.158
913.0	2.171
914.0	2.183
915.0	2.196
916.0	2.190
917.0	2.183
918.0	2.176
919.0	2.169
920.0	2.163
921.0	2.176
922.0	2.189
923.0	2.202
924.0	2.215
925.0	2.228
926.0	2.211
927.0	2.194
928.0	2.176
929.0	2.159
930.0	2.142
931.0	2.150
932.0	2.159
933.0	2.168
934.0	2.177
935.0	2.186
936.0	2.178
937.0	2.170
938.0	2.162
939.0	2.154
940.0	2.146
941.0	2.149
942.0	2.151
943.0	2.154
944.0	2.156
945.0	2.159
946.0	2.160
947.0	2.160
948.0	2.161
949.0	2.162
950.0	2.163
951.0	2.163
952.0	2.163
953.0	2.163
954.0	2.163
955.0	2.163
956.0	2.156
957.0	2.148
958.0	2.140
959.0	2.132
960.0	2.125
961.0	2.131
962.0	2.138
963.0	2.145
964.0	2.151
965.0	2.158
966.0	2.163
967.0	2.169
968.0	2.174
969.0	2.180
970.0	2.185
971.0	2.172
972.0	2.159
973.0	2.147
974.0	2.134
975.0	2.121
976.0	2.125
977.0	2.128
978.0	2.131
979.0	2.135
980.0	2.138
981.0	2.117
982.0	2.096
983.0	2.076
984.0	2.055
985.0	2.034
986.0	2.068
987.0	2.103
988.0	2.137
989.0	2.172
990.0	2.207
991.0	2.179
992.0	2.151
993.0	2.123
994.0	2.095
995.0	2.067
996.0	2.071
997.0	2.075
998.0	2.078
999.0	2.082
1000.0	2.086
